WBS_CODE_lv01,WBS_CODE_lv02,WBS_CODE_lv03,Activity,Department
品質管理,試験法開発,分析法確立,新規化合物の品質試験法開発,品質管理部
医薬情報,添付文書,改訂対応,添付文書改訂案の作成と当局相談,安全管理部
研究推進,F-00890,薬理評価,新規化合物の薬理学的評価実施,研究所
経営企画,中期計画,戦略立案,研究開発中期計画の策定プロジェクト,経営企画部
施設管理,研究施設,環境整備,研究所の空調設備更新工事,総務部
製品管理,在庫管理,需給調整,主力製品の需給計画策定と在庫適正化,製造部
開発管理,G-00123,進捗管理,開発品目のマイルストン管理,臨床開発部
特許戦略,知財管理,権利化検討,開発品の特許出願戦略策定,知的財産部
市販後調査,使用成績,データ収集,長期使用に関する特定使用成績調査実施,安全管理部
生産管理,製造計画,生産調整,年間製造計画の策定と要員計画立案,製造部
臨床企画,H-00345,試験立案,第III相国際共同治験の実施計画策定,臨床開発部
研究戦略,創薬研究,テーマ選定,次期重点研究テーマの選定評価,研究所
人材開発,教育研修,研修企画,若手研究員向け研修プログラムの企画,人事部
品質保証,SOP管理,手順書改訂,品質管理基準書の定期見直しと改訂,品質保証部
営業計画,売上目標,計画策定,次年度製品別売上目標の策定,営業本部
薬事戦略,I-00678,申請準備,承認申請資料の作成と取りまとめ,薬事部
研究支援,実験動物,施設運営,動物実験施設の運営管理体制の整備,研究所
製造技術,プロセス開発,条件検討,新製品の実生産条件の最適化検討,製造部
安全管理,市販後安全,情報収集,副作用情報の収集と評価体制の整備,安全管理部
事業開発,ライセンス,契約交渉,導入候補品の契約条件交渉,事業開発部
品質試験,規格試験,試験実施,原料医薬品の受入れ試験実施,品質管理部
臨床開発,J-00901,治験管理,多施設共同治験の進捗管理,臨床開発部
研究企画,研究評価,進捗確認,研究プロジェクトの進捗評価会議運営,研究所
経理業務,管理会計,原価計算,製品別原価計算システムの構築,経理部
製品戦略,販売戦略,市場分析,重点製品の市場シェア分析実施,営業本部
品質保証,バリデーション,計画策定,製造設備のバリデーション計画作成,品質保証部
臨床企画,K-00234,試験計画,早期探索的臨床試験の計画立案,臨床開発部
研究管理,安全性評価,毒性試験,新規化合物の長期毒性試験実施,研究所
人事管理,労務管理,制度改定,働き方改革関連の人事制度改定,人事部
製造管理,製造記録,記録管理,電子製造記録システムの導入準備,製造部
開発戦略,L-00567,開発方針,開発候補品のポートフォリオ評価,臨床開発部
知財管理,特許調査,情報収集,競合他社の特許出願動向調査,知的財産部
品質試験,安定性試験,評価実施,長期保存品の安定性評価試験実施,品質管理部
営業管理,販売計画,目標設定,エリア別販売目標の設定と評価,営業本部
薬事対応,M-00789,相談準備,医薬品医療機器総合機構の相談準備,薬事部
研究推進,創薬研究,探索研究,新規標的分子の探索研究実施,研究所
経営管理,業績管理,実績分析,研究開発投資の費用対効果分析,経営企画部
生産技術,技術移管,手順策定,海外工場への技術移管手順書作成,製造部
開発管理,N-00890,安全性評価,開発候補品の安全性評価実施,臨床開発部
市場開発,製品導入,評価分析,導入候補品の市場性評価実施,事業開発部
品質保証,品質システム,体制整備,品質マネジメントシステムの見直し,品質保証部
研究企画,O-00123,基礎研究,創薬ターゲットの妥当性検証,研究所
施設管理,設備保全,点検実施,研究機器の定期点検実施計画策定,総務部
製品管理,包装作業,手順改善,包装工程の作業効率化検討,製造部
臨床開発,P-00345,試験調整,治験実施医療機関との調整業務,臨床開発部
人材育成,研修計画,実施運営,MR認定試験対策講座の企画運営,人事部
品質管理,試験評価,基準改定,品質規格の見直しと改定作業,品質管理部
研究管理,Q-00678,評価会議,研究進捗報告会の運営実施,研究所
経理実務,決算業務,連結決算,グローバル連結決算の実施対応,経理部
製造技術,生産性改善,効率化検討,製造工程の省人化検討プロジェクト,製造部
開発戦略,R-00901,戦略会議,開発方針検討会議の運営実施,臨床開発部
営業企画,販売促進,企画立案,新製品発売記念講演会の企画実施,営業本部
安全管理,副作用情報,評価実施,重篤副作用症例の詳細調査実施,安全管理部
研究企画,S-00234,研究計画,次年度研究計画の策定実施,研究所
品質保証,監査対応,準備実施,海外当局査察への対応準備,品質保証部
製造管理,生産計画,調整実施,年間生産計画の見直しと調整,製造部
薬事戦略,T-00567,規制対応,規制当局との事前相談準備,薬事部
経営企画,事業計画,戦略策定,中期経営計画の策定プロジェクト,経営企画部
臨床開発,U-00789,症例管理,治験の症例データマネジメント,臨床開発部
研究推進,共同研究,契約管理,産学連携研究の契約書作成,研究所
人事制度,評価制度,運用改善,人事評価制度の運用方法見直し,人事部
製造品質,バリデーション,実施管理,製造設備の適格性評価実施,製造部
開発管理,V-00890,進捗管理,開発プロジェクトの進捗報告,臨床開発部
品質試験,試験法開発,手順作成,新規試験法のSOP作成業務,品質管理部
市場調査,競合分析,情報収集,競合品の市場動向調査実施,営業本部
研究基盤,W-00123,機器整備,研究機器の更新計画策定,研究所
経理管理,予算管理,実績分析,部門別予算実績の分析報告,経理部
安全性評価,副作用管理,報告業務,安全性定期報告書の作成,安全管理部
製造技術,X-00345,技術検討,新規製造方法の技術検討実施,製造部
開発企画,開発戦略,方針策定,開発品目の優先順位付け実施,臨床開発部
品質保証,品質管理,基準策定,品質管理基準書の改定作業,品質保証部
研究戦略,Y-00678,方針決定,研究開発方針の策定実施,研究所
人材開発,育成計画,実施運営,階層別研修の企画と実施,人事部
製造管理,在庫管理,計画策定,原材料の在庫適正化計画策定,製造部
